[Info]
Lang=1
1=Japanese
ExtComment=0

[TagDefinitions]
,L30285,"追掛用冷水P(P-BTa-2)状態"
,L30286,"追掛用冷水P(P-BTa-2)故障"
,L30287,"R-BTb蓄熱運転状態"
,L30288,"R-BTb追掛運転状態"
,L30289,"R-BTb放熱運転状態"
,L30290,"ＲＢＴｂ圧縮機Ｎｏ１運転"
,L30291,"R-BTb冷凍機製氷モ-ド"
,L30292,"R-BTb追掛バルブ切換失敗"
,L30293,"R-BTb蓄熱バルブ切換失敗"
,L30294,"R-BTb放熱バルブ切換失敗"
,L30295,"HEX-BTb凍結温度警報"
,L30296,"HEX-ITb凍結温度警報"
,L30297,"(SP-BTb-1)状態"
,L30298,"(SP-BTb-1)故障"
,L30299,"(SP-BTb-2)状態"
,L30300,"(SP-BTb-2)故障"
,L30301,"(SP-BTb-3)状態"
,L30302,"(SP-BTb-3)故障"
,L30303,"放熱用(PP-ITb-1)状態"
,L30304,"放熱用(PP-ITb-1)故障"
,L30305,"放熱用(PP-ITb-2)状態"
,L30306,"放熱用(PP-ITb-2)故障"
,L30307,"放熱用(P-ITb-1)状態"
,L30308,"放熱用(P-ITb-1)故障"
,L30309,"放熱用(P-ITb-2)状態"
,L30310,"放熱用(P-ITb-2)故障"
,L30311,"追掛用(P-BTb-1)状態"
,L30312,"追掛用(P-BTb-1)故障"
,L30313,"追掛用(P-BTb-2)状態"
,L30314,"追掛用(P-BTb-2)故障"
,L30315,"氷蓄熱槽蓄熱完了"
,L30316,"氷蓄熱槽放熱完了"
,L30317,"ＸＣＶ－３０１　開"
,L30318,"ＸＣＶ－３０１　閉"
,L30319,"ＸＣＶ－３０２　開"
,L30320,"ＸＣＶ－３０２　閉"
,L30321,"ＸＣＶ－３０３　開"
,L30322,"ＸＣＶ－３０３　閉"
,L30323,"ＸＣＶ－３０４　開"
,L30324,"ＸＣＶ－３０４　閉"
,L30325,"ＴＣＶ－３０１　開"
,L30326,"ＴＣＶ－３０１　閉"
,L30327,"ＴＣＶ－３０２　開"
,L30328,"ＴＣＶ－３０２　閉"
,L30329,"ＴＣＶ－３０３　開"
,L30330,"ＴＣＶ－３０３　閉"
,L30331,"ＴＣＶ－３０４　開"
,L30332,"ＴＣＶ－３０４　閉"
,L30333,"ＸＣＶ－４０１　開"
,L30334,"ＸＣＶ－４０１　閉"
,L30335,"ＸＣＶ－４０２　開"
,L30336,"ＸＣＶ－４０２　閉"
,L30337,"ＸＣＶ－４０３　開"
,L30338,"ＸＣＶ－４０３　閉"
,L30339,"ＸＣＶ－４０４　開"
,L30340,"ＸＣＶ－４０４　閉"
,L30341,"ＴＣＶ－４０１　開"
,L30342,"ＴＣＶ－４０１　閉"
,L30343,"ＴＣＶ－４０２　開"
,L30344,"ＴＣＶ－４０２　閉"
,L30345,"ＴＣＶ－４０３　開"
,L30346,"ＴＣＶ－４０３　閉"
,L30347,"ＴＣＶ－４０４　開"
,L30348,"ＴＣＶ－４０４　閉"
,L30349,"ＲＢＴａ圧縮機Ｎｏ２運転"
,L30350,"ＲＢＴｂ圧縮機Ｎｏ２運転"
,M00033,"常時ＯＮ"
,M00034,"常時ＯＦＦ"
,M00035,"運転開始時１スキャンＯＮ"
,M00036,"0.01秒クロック"
,M00037,"0.02秒クロック"
,M00038,"0.1秒クロック"
,M00039,"0.2秒クロック"
,M00040,"1秒クロック"
,M00041,"2秒クロック"
,M00042,"1分クロック"
,M00066,"サブユニット伝送路正常"
,M00129,"運転モードフラグ"
,M00130,"デバッグモードフラグ"
,M00131,"停止モードフラグ"
,M00132,"一時停止フラグ"
,M00133,"実行フラグ(全ﾌﾞﾛｯｸ/指定ﾌﾞﾛｯｸ)"
,M00134,"リモート／ローカルフラグ"
,M00135,"ＲＯＭ／ＲＡＭ運転フラグ"
,M00136,"電源ＯＮ運転フラグ"
,M00172,"時刻設定"
,M00173,"入力オフラインフラグ"
,M00174,"出力オフラインフラグ"
,M00175,"共有入出力オフラインフラグ"
,M00176,"リンク入出力オフラインフラグ"
,M00188,"キャリフラグ"
,M00193,"自己診断エラー"
,M00194,"バッテリ異常"
,M00195,"瞬停発生"
,M00196,"ＣＰＵ間通信異常"
,M00197,"ＣＰＵ１存在"
,M00198,"ＣＰＵ２存在"
,M00199,"ＣＰＵ３存在"
,M00200,"ＣＰＵ４存在"
,M00201,"命令処理エラー"
,M00202,"入出力照合エラー"
,M00203,"入出力モジュール異常"
,M00204,"スキャンタイムオーバー"
,M00210,"サブユニット伝送路エラー"
,M00211,"サブユニット伝送路切換発生"
,M00225,"ＣＰＵ１シーケンスプログラム実行"
,M00226,"ＣＰＵ２シーケンスプログラム実行"
,M00227,"ＣＰＵ３シーケンスプログラム実行"
,M00228,"ＣＰＵ４シーケンスプログラム実行"
,T00515,"凍結1継続ﾀｲﾏ"
,T00516,"凍結2継続ﾀｲﾏ"
,T00517,"凍結3継続ﾀｲﾏ"
